ID,ch,math,en,phy,che,bio
Cluster 0, medoid 1377160219
1377160214,70.0,144.0,132.0,88.0,79.0,82.0,595.0
1377160219,73.0,130.0,127.5,79.0,77.0,77.0,563.5
1377160228,76.0,135.0,128.5,68.0,73.0,79.0,559.5
1377160302,75.0,120.0,130.5,73.0,68.0,82.0,548.5
1377160303,78.0,124.0,121.0,80.0,76.0,78.0,557.0
1377160321,71.0,132.0,126.5,84.0,80.0,70.0,563.5
1377160323,77.0,133.0,123.5,82.0,66.0,71.0,552.5
1377160324,74.0,118.0,134.5,77.0,81.0,67.0,551.5
1377160432,72.0,132.0,133.0,74.0,68.0,65.0,544.0
Cluster 1, medoid 1377160629
1377160502,109.0,100.0,101.0,50.0,55.0,68.0,483.0
1377160629,105.5,94.0,112.0,45.0,51.0,67.0,474.5
1377160632,98.5,75.0,112.0,44.0,49.0,50.0,428.5
1377160730,91.5,82.0,122.5,45.0,28.0,53.0,422.0
1377160817,104.0,91.0,119.0,42.0,37.0,76.0,469.0
1377160819,103.0,100.0,114.5,39.0,46.0,68.0,470.5
1377160932,102.5,101.0,105.5,39.0,50.0,60.0,458.0
1377161003,86.5,80.0,111.5,46.0,49.0,52.0,425.0
1377161007,90.0,89.0,90.5,47.0,28.0,65.0,409.5
1377161017,94.0,93.0,119.5,38.0,63.0,69.0,476.5
Cluster 2, medoid 1377161028
1377160308,98.5,88.0,127.5,81.0,63.0,67.0,525.0
1377160309,103.5,86.0,126.5,71.0,66.0,61.0,514.0
1377160332,110.0,80.0,129.5,74.0,57.0,87.0,537.5
1377160416,107.5,84.0,135.0,64.0,77.0,65.0,532.5
1377160431,107.5,91.0,128.0,64.0,60.0,67.0,517.5
1377160506,95.0,90.0,124.0,63.0,69.0,65.0,506.0
1377160533,94.5,82.0,135.0,76.0,74.0,67.0,528.5
1377160611,109.0,85.0,125.0,76.0,64.0,69.0,528.0
1377160806,107.5,89.0,123.0,54.0,71.0,72.0,516.5
1377160812,104.5,83.0,122.5,77.0,61.0,74.0,522.0
1377160827,102.5,81.0,129.0,79.0,63.0,74.0,528.5
1377161028,99.0,87.0,129.0,70.0,63.0,73.0,521.0
Cluster 3, medoid 1377160633
1377160610,92.5,120.0,122.5,47.0,67.0,47.0,496.0
1377160633,89.0,117.0,121.5,40.0,47.0,42.0,456.5
1377160722,95.5,115.0,108.5,42.0,48.0,38.0,447.0
1377160931,66.0,109.0,122.5,43.0,40.0,42.0,422.5
1377161004,94.5,109.0,116.5,41.0,37.0,50.0,448.0
Cluster 4, medoid 1377160630
1377160402,111.5,108.0,97.0,60.0,64.0,63.0,503.5
1377160517,102.0,130.0,91.0,56.0,60.0,68.0,507.0
1377160526,105.5,120.0,92.0,66.0,57.0,69.0,509.5
1377160530,94.5,111.0,95.0,53.0,73.0,73.0,499.5
1377160531,100.0,116.0,98.0,55.0,72.0,66.0,507.0
1377160625,103.5,108.0,100.0,70.0,63.0,67.0,511.5
1377160630,106.0,108.0,94.0,65.0,70.0,63.0,506.0
1377160701,105.0,122.0,90.0,67.0,60.0,60.0,504.0
1377160724,106.0,115.0,99.0,53.0,67.0,54.0,494.0
1377160804,103.5,96.0,96.0,61.0,72.0,73.0,501.5
1377160805,102.0,113.0,93.0,71.0,52.0,77.0,508.0
Cluster 5, medoid 1377160735
1377160503,99.5,110.0,127.0,48.0,55.0,64.0,503.5
1377160615,96.5,101.0,116.5,44.0,53.0,46.0,457.0
1377160631,99.0,95.0,130.5,40.0,40.0,54.0,458.5
1377160735,96.0,105.0,124.5,41.0,53.0,54.0,473.5
1377160820,96.0,117.0,120.5,46.0,47.0,63.0,489.5
1377160821,99.5,120.0,121.0,49.0,67.0,64.0,520.5
1377160822,96.5,99.0,124.0,43.0,64.0,57.0,483.5
